MedleyID	HasImages	HasTables	NoOfTableRows	AverageDepthOfTree	WordCount	AverageSentenceLength	ContentWordCount	ContentWordCountNoStopwords	ContentWordIncidence	NounCount	NounIncidence	VerbCount	VerbIncidence	AdjectiveCount	AdjectiveIncidence	AdverbCount	AdverbIncidence	NumberCount	NumberIncidence	ReferentialPronounCount	TypeTokenRatio	CommaIndex	ComplexWordCount	AverageNoWordsBeforeMainVb	AverageWordLengthInSyllables	NegationCount	AgentlessPassiveCount	AverageSenseNoContentWords	AverageSenseNoNouns	AverageSenseNoVerbs	AverageSenseNoAdjectives	AverageSenseNoAdverbs	PolysemicWordIndex	AverageNounDistanceToWNRoot	AverageVerbDistanceToWNRoot	AverageNounAndVerbDistanceToWNRoot	AnswerWordsInWordNetRatio	SMOG	SMOGIndex	FleschReadingEase	FleschKincaidGradeLevel	AutomatedReadabilityIndex	GunningFog	ColemanLiau	AverageWordFrequencyAbs	AverageWordFrequencyRel	AverageWordFrequencyRank	AverageContentFrequencyAbs	AverageContentFrequencyRel	AverageContentFrequencyRank	Imagability	ImagabilityFoundOnly	ImagabilityRatio	Familiarity	FamiliarityFoundOnly	FamiliarityRatio	Concreteness	ConcretenessFoundOnly	ConcretenessRatio	AgeOfAcquisition	AgeOfAcquisitionFoundOnly	AgeOfAcquisitionRatio	MeaningfulnessColoradoFoundOnly	MeaningfulnessPavioFoundOnly	ConnectivesCount	TemporalConnectivesCount	CausalConnectivesCount	AdditiveConnectivesCount	
T13Q2	0	0	0	9.36	195.00	13.93	119.00	116.00	610.26	52.00	266.67	41.00	210.26	12.00	61.54	14.00	71.79	1.00	5.13	14.00	0.56	0.04	32.00	2.21	1.57	2.00	0.00	5.39	4.38	8.85	1.25	2.57	0.43	7.37	1.34	4.71	0.94	11.77	11.28	59.94	8.36	8.31	11.60	10.68	575881.90	93.08	1009.06	79615.15	12.87	1316.30	257.03	413.32	19019.87	339.11	545.32	25094.08	243.97	392.32	18053.51	5.43	6.04	581.02	404.26	616.76	30.00	8.00	8.00	12.00	
T13Q3	0	0	0	9.43	170.00	12.14	105.00	102.00	617.65	47.00	276.47	36.00	211.76	10.00	58.82	12.00	70.59	1.00	5.88	10.00	0.61	0.04	28.00	2.21	1.56	2.00	0.00	4.88	3.72	8.17	1.10	2.67	0.42	7.65	1.42	4.95	1.00	11.21	10.75	62.14	7.61	7.30	11.20	10.54	567677.23	91.75	903.86	86158.75	13.93	1136.71	255.80	419.67	16371.20	330.54	542.30	21154.74	243.03	398.72	15553.83	5.41	5.98	514.39	401.42	620.80	29.00	5.00	8.00	14.00	
T14Q1	0	0	0	7.50	163.00	20.38	104.00	83.00	638.04	47.00	288.34	28.00	171.78	23.00	141.10	6.00	36.81	4.00	24.54	11.00	0.47	0.04	33.00	1.38	1.60	3.00	0.00	6.12	3.36	15.29	1.78	1.50	0.44	5.05	1.36	3.68	0.85	14.73	14.12	51.21	11.18	12.39	16.00	12.76	808149.18	130.61	890.44	721296.26	116.58	1277.78	262.71	384.82	18652.52	386.68	566.41	27454.47	234.38	375.02	15235.00	5.48	6.55	476.85	384.47	605.25	16.00	1.00	4.00	11.00	
T14Q2	0	0	0	7.50	146.00	18.25	91.00	76.00	623.29	44.00	301.37	24.00	164.38	18.00	123.29	5.00	34.25	4.00	27.40	11.00	0.52	0.04	30.00	0.63	1.62	2.00	0.00	6.18	3.30	15.67	1.83	1.60	0.44	5.10	1.41	3.80	0.00	14.19	13.61	51.56	10.60	11.60	15.20	13.09	728001.76	117.66	884.25	632625.68	102.25	1312.69	270.31	396.74	16759.08	384.21	563.92	23820.95	250.29	392.69	14516.57	5.31	6.45	398.43	386.69	609.43	13.00	1.00	3.00	9.00	
T14Q3	0	0	0	9.14	147.00	21.00	95.00	79.00	646.26	48.00	326.53	24.00	163.27	18.00	122.45	5.00	34.01	4.00	27.21	11.00	0.52	0.04	29.00	0.71	1.63	2.00	0.00	6.04	3.27	15.67	1.83	1.60	0.46	5.23	1.41	3.96	1.00	14.76	14.15	47.97	11.79	13.00	16.00	13.13	698685.67	112.92	900.35	606088.33	97.96	1292.82	269.64	400.25	17257.09	376.75	559.23	24111.83	252.37	399.58	15142.11	5.34	6.51	416.75	389.70	638.44	12.00	1.00	3.00	9.00	
T15Q1	0	0	0	15.25	243.00	30.38	152.00	143.00	625.51	61.00	251.03	45.00	185.19	23.00	94.65	23.00	94.65	2.00	8.23	14.00	0.65	0.05	43.00	3.50	1.62	1.00	0.00	5.11	3.85	9.71	1.57	2.96	0.44	5.73	1.51	3.94	1.00	16.37	15.70	39.18	15.34	16.53	18.80	12.68	636985.09	102.95	1089.89	264776.98	42.79	1339.76	232.86	431.65	19094.67	307.28	569.59	25196.66	200.36	400.71	15227.00	4.97	6.52	577.09	422.13	635.08	33.00	7.00	10.00	16.00	
T15Q2	0	0	0	15.38	241.00	30.13	150.00	142.00	622.41	62.00	257.26	47.00	195.02	18.00	74.69	23.00	95.44	2.00	8.30	12.00	0.64	0.05	45.00	3.25	1.64	0.00	0.00	5.11	3.77	9.19	1.44	3.26	0.44	5.64	1.45	3.84	0.75	16.68	15.99	37.60	15.50	16.75	19.20	13.11	623033.72	100.70	1092.78	260511.46	42.10	1328.18	214.53	434.85	15874.97	281.54	570.69	20833.96	187.75	402.33	13142.73	4.99	6.69	559.13	423.82	612.00	31.00	6.00	9.00	15.00	
T15Q3	0	0	0	15.38	237.00	29.63	150.00	142.00	632.91	57.00	240.51	48.00	202.53	21.00	88.61	24.00	101.27	2.00	8.44	13.00	0.68	0.05	46.00	3.88	1.65	0.00	0.00	5.08	3.67	9.40	1.48	2.96	0.45	5.56	1.48	3.69	1.00	16.83	16.13	37.19	15.43	16.46	19.20	12.05	645642.01	104.35	1102.85	262101.06	42.36	1354.75	220.21	423.47	17176.12	297.33	571.79	23192.00	188.10	397.39	13355.10	4.87	6.53	545.99	420.92	608.00	30.00	6.00	8.00	14.00	
T16Q1	0	0	0	14.63	164.00	20.50	109.00	102.00	664.63	52.00	317.07	34.00	207.32	19.00	115.85	4.00	24.39	1.00	6.10	5.00	0.61	0.03	23.00	4.00	1.66	1.00	0.00	5.57	4.33	9.85	0.89	7.50	0.43	6.11	1.82	4.41	1.00	12.82	12.29	45.72	11.98	13.17	13.60	13.66	699208.48	113.01	1044.76	231859.29	37.47	1360.79	281.25	425.78	20249.83	367.41	556.22	26453.72	229.38	384.65	14909.45	5.46	6.14	529.77	417.48	635.60	19.00	3.00	6.00	10.00	
T16Q2	0	0	0	12.50	170.00	21.25	112.00	106.00	658.82	54.00	317.65	34.00	200.00	20.00	117.65	4.00	23.53	1.00	5.88	5.00	0.59	0.03	21.00	4.00	1.64	1.00	0.00	5.99	4.46	11.24	0.90	7.50	0.43	6.05	1.83	4.42	1.00	12.38	11.87	46.92	11.99	12.99	13.20	12.96	762879.70	123.30	1026.27	200309.82	32.37	1386.63	295.53	435.51	22460.04	377.58	556.43	28696.11	239.61	394.65	16293.29	5.42	6.07	542.05	422.69	625.19	17.00	3.00	6.00	9.00	
